case_id,condition,context_budget,final_context_tokens,within_budget
38146c39,waggle_production_context,3900,2261,True
38146c39,external_jsonl:mempalace,3900,3885,True
6b168ec8,waggle_production_context,3900,1685,True
6b168ec8,external_jsonl:mempalace,3900,3883,True
4fd1909e,waggle_production_context,3900,3013,True
4fd1909e,external_jsonl:mempalace,3900,3885,True
4100d0a0,waggle_production_context,3900,1337,True
4100d0a0,external_jsonl:mempalace,3900,3885,True
0862e8bf_abs,waggle_production_context,3900,1952,True
0862e8bf_abs,external_jsonl:mempalace,3900,3883,True
gpt4_e061b84g,waggle_production_context,3900,3883,True
gpt4_e061b84g,external_jsonl:mempalace,3900,3886,True
gpt4_468eb063,waggle_production_context,3900,1817,True
gpt4_468eb063,external_jsonl:mempalace,3900,3886,True
gpt4_b4a80587,waggle_production_context,3900,3396,True
gpt4_b4a80587,external_jsonl:mempalace,3900,3885,True
b9cfe692,waggle_production_context,3900,3883,True
b9cfe692,external_jsonl:mempalace,3900,3885,True
