case_id,condition,final_context_tokens,context_items,tool_output_tokens
38146c39,waggle_production_context,2261,1,11584
38146c39,external_jsonl:mempalace,3885,5,0
6b168ec8,waggle_production_context,1685,1,12118
6b168ec8,external_jsonl:mempalace,3883,5,0
4fd1909e,waggle_production_context,3013,1,10011
4fd1909e,external_jsonl:mempalace,3885,5,0
4100d0a0,waggle_production_context,1337,1,10626
4100d0a0,external_jsonl:mempalace,3885,5,0
0862e8bf_abs,waggle_production_context,1952,1,9513
0862e8bf_abs,external_jsonl:mempalace,3883,5,0
gpt4_e061b84g,waggle_production_context,3883,1,12006
gpt4_e061b84g,external_jsonl:mempalace,3886,6,0
gpt4_468eb063,waggle_production_context,1817,1,10333
gpt4_468eb063,external_jsonl:mempalace,3886,5,0
gpt4_b4a80587,waggle_production_context,3396,1,12340
gpt4_b4a80587,external_jsonl:mempalace,3885,5,0
b9cfe692,waggle_production_context,3883,1,11954
b9cfe692,external_jsonl:mempalace,3885,5,0
