case_id,condition,nodes,edges,transcripts
38146c39,waggle_production_context,8,55,0
38146c39,external_jsonl:mempalace,0,0,10
6b168ec8,waggle_production_context,26,22,0
6b168ec8,external_jsonl:mempalace,0,0,10
4fd1909e,waggle_production_context,28,10,0
4fd1909e,external_jsonl:mempalace,0,0,10
4100d0a0,waggle_production_context,19,15,0
4100d0a0,external_jsonl:mempalace,0,0,10
0862e8bf_abs,waggle_production_context,35,32,0
0862e8bf_abs,external_jsonl:mempalace,0,0,10
gpt4_e061b84g,waggle_production_context,34,19,0
gpt4_e061b84g,external_jsonl:mempalace,0,0,10
gpt4_468eb063,waggle_production_context,26,29,0
gpt4_468eb063,external_jsonl:mempalace,0,0,10
gpt4_b4a80587,waggle_production_context,30,21,0
gpt4_b4a80587,external_jsonl:mempalace,0,0,10
b9cfe692,waggle_production_context,53,36,0
b9cfe692,external_jsonl:mempalace,0,0,10
