case_id,condition,final_context_tokens,context_items,tool_output_tokens
c8f1aeed,flat_transcript_vector,1563,10,0
c8f1aeed,waggle_production_context,3883,1,16372
c8f1aeed,waggle_temporal_slot_context,740,4,6556
c8f1aeed,oracle_answer_turn_context,260,1,0
dccbc061,flat_transcript_vector,3043,10,0
dccbc061,waggle_production_context,3883,1,20553
dccbc061,waggle_temporal_slot_context,432,4,6341
dccbc061,oracle_answer_turn_context,297,1,0
6aeb4375_abs,flat_transcript_vector,1907,10,0
6aeb4375_abs,waggle_production_context,3883,1,17651
6aeb4375_abs,waggle_temporal_slot_context,186,4,6982
6aeb4375_abs,oracle_answer_turn_context,2572,6,0
71017277,flat_transcript_vector,1468,10,0
71017277,waggle_production_context,3732,1,19358
71017277,waggle_temporal_slot_context,287,4,6631
71017277,oracle_answer_turn_context,346,1,0
73d42213,flat_transcript_vector,1767,10,0
73d42213,waggle_production_context,3883,1,16839
73d42213,waggle_temporal_slot_context,376,4,6676
73d42213,oracle_answer_turn_context,1058,2,0
