case_id,condition,nodes,edges,transcripts
c8f1aeed,flat_transcript_vector,0,0,10
c8f1aeed,waggle_production_context,11,95,0
c8f1aeed,waggle_temporal_slot_context,12,0,3
c8f1aeed,oracle_answer_turn_context,0,0,1
dccbc061,flat_transcript_vector,0,0,10
dccbc061,waggle_production_context,21,138,0
dccbc061,waggle_temporal_slot_context,12,0,3
dccbc061,oracle_answer_turn_context,0,0,1
6aeb4375_abs,flat_transcript_vector,0,0,10
6aeb4375_abs,waggle_production_context,70,162,0
6aeb4375_abs,waggle_temporal_slot_context,6,0,3
6aeb4375_abs,oracle_answer_turn_context,0,0,6
71017277,flat_transcript_vector,0,0,10
71017277,waggle_production_context,64,66,0
71017277,waggle_temporal_slot_context,7,0,3
71017277,oracle_answer_turn_context,0,0,1
73d42213,flat_transcript_vector,0,0,10
73d42213,waggle_production_context,70,285,0
73d42213,waggle_temporal_slot_context,9,0,3
73d42213,oracle_answer_turn_context,0,0,2
