condition,category,rows,qa_correct
flat_transcript_vector,knowledge-update,1,1
flat_transcript_vector,multi-session,1,0
flat_transcript_vector,single-session-assistant,1,0
flat_transcript_vector,single-session-user,1,0
flat_transcript_vector,temporal-reasoning,1,0
oracle_answer_turn_context,knowledge-update,1,1
oracle_answer_turn_context,multi-session,1,1
oracle_answer_turn_context,single-session-assistant,1,0
oracle_answer_turn_context,single-session-user,1,1
oracle_answer_turn_context,temporal-reasoning,1,0
waggle_production_context,knowledge-update,1,1
waggle_production_context,multi-session,1,0
waggle_production_context,single-session-assistant,1,1
waggle_production_context,single-session-user,1,1
waggle_production_context,temporal-reasoning,1,0
waggle_temporal_slot_context,knowledge-update,1,1
waggle_temporal_slot_context,multi-session,1,0
waggle_temporal_slot_context,single-session-assistant,1,1
waggle_temporal_slot_context,single-session-user,1,1
waggle_temporal_slot_context,temporal-reasoning,1,0
